Don't you move or I'll shoot., you i move shoot no
Don't you move or I'll shoot., you i move shoot no
Did anybody see anything?, anybody anything see
Did anybody see anything?, anybody anything see
Water the plants.,
Water the plants.,
Tom asked Mary several questions., tom several mary several question ask
Tom asked Mary several questions., tom several mary several question ask
Stop fooling around!, around stop fool around
Stop fooling around!, around stop fool around
Stop being so nice., so nice so stop
Stop being so nice., so nice so stop
We're not going to do it., we it go do no
We're not going to do it., we it go do no
"Unfortunately, the report is true.", report true unfortunately
"Unfortunately, the report is true.", report true unfortunately
I like things the way they are., i they thing way like
I like things the way they are., i they thing way like
I know you must be afraid., i you afraid know
I know you must be afraid., i you afraid know
You don't need one now., you one now need no
You don't need one now., you one now need no
He doesn't take vacations., he vacation take no
He doesn't take vacations., he vacation take no
I really need to focus on this., i really this need focus on
I really need to focus on this., i really this need focus on
Can you help me find it?, you me it help find
Can you help me find it?, you me it help find
Give me something to write with., me something write give write with
Give me something to write with., me something write give write with
Do you have any kids?, you any kid have
Do you have any kids?, you any kid have
They lost their dog., they their their dog lose
They lost their dog., they their their dog lose
I like her sister very much., i her her sister very much like
I like her sister very much., i her her sister very much like
Some words are hard to define., some word hard define some define
Some words are hard to define., some word hard define some define
"Look, there's a rabbit!", there rabbit look 's
"Look, there's a rabbit!", there rabbit look 's
Is that enough?, that enough
Is that enough?, that enough
I'll show you around the town., i you town show
I'll show you around the town., i you town show
Tell me where the wine is., wine me where tell
Tell me where the wine is., wine me where tell
Your lips are blue., your lip blue
Your lips are blue., your lip blue
It's a good system., it good good system
It's a good system., it good good system
It sounds like a fun job., it fun fun job sound like
It sounds like a fun job., it fun fun job sound like
I know it by heart., i it heart know
I know it by heart., i it heart know
Tom goes there three times a week., tom there three time week go there
Tom goes there three times a week., tom there three time week go there
How long have you been learning French?, you long french learn how
How long have you been learning French?, you long french learn how
He drowned in the river., he river drown in
He drowned in the river., he river drown in
He doesn't eat raw fish., he raw raw fish eat no
He doesn't eat raw fish., he raw raw fish eat no
Hitler led Germany into war., hitler germany war lead
Hitler led Germany into war., hitler germany war lead
Contact me tomorrow., me tomorrow contact
Contact me tomorrow., me tomorrow contact
The sky is full of stars., sky full of star
The sky is full of stars., sky full of star
Is it money you need?, it you money need need
Is it money you need?, it you money need need
Your book is on the desk., your book desk
Your book is on the desk., your book desk
Just tell me what happened., just me tell happen what
Just tell me what happened., just me tell happen what
Where are they taking you?, they you take where
Where are they taking you?, they you take where
I never thought you really did that., i you really that think do no
I never thought you really did that., i you really that think do no
We hope your stay was enjoyable., we your stay enjoyable hope
We hope your stay was enjoyable., we your stay enjoyable hope
I've heard this story scores of times., i this story score of time hear
I've heard this story scores of times., i this story score of time hear
Tom didn't retreat., tom retreat no
Tom didn't retreat., tom retreat no
Here's my chance., my chance here
Here's my chance., my chance here
Don't open your book., your your book open no
Don't open your book., your your book open no
He did a good job., he good good job do
He did a good job., he good good job do
We don't always agree., we always agree no
We don't always agree., we always agree no
I feel giddy., i giddy feel
I feel giddy., i giddy feel
His last movie was very successful., his last movie very successful very
His last movie was very successful., his last movie very successful very
I didn't even know his name., i his even his name know no
I didn't even know his name., i his even his name know no
This should solve all your problems., this your all your problem solve
This should solve all your problems., this your all your problem solve
Have you ever gone skinny dipping?, you skinny dip ever go dip
Have you ever gone skinny dipping?, you skinny dip ever go dip
I hate flies., i fly hate
I hate flies., i fly hate
That's what terrifies me., that me terrify what
That's what terrifies me., that me terrify what
They drank coffee., they coffee drink
They drank coffee., they coffee drink
"On the rocks, please.", rock
"On the rocks, please.", rock
He seemed to like that., he that seem like
He seemed to like that., he that seem like
Tom is no threat., tom no threat
Tom is no threat., tom no threat
A squirrel hid among the branches., squirrel branch hid among
A squirrel hid among the branches., squirrel branch hid among
He gathered up his things and left., he his his thing gather up leave
He gathered up his things and left., he his his thing gather up leave
Let's clear up this problem., 's this problem let clear up
Let's clear up this problem., 's this problem let clear up
How long will you stay in Tokyo?, you long tokyo stay in how
How long will you stay in Tokyo?, you long tokyo stay in how
Are you coming to the party?, you party come to
Are you coming to the party?, you party come to
She's a fox., she fox
She's a fox., she fox
Tom has never seen a UFO., tom ufo see no
Tom has never seen a UFO., tom ufo see no
You can't be too careful., you too careful too no
You can't be too careful., you too careful too no
I need it as quickly as possible., i possible it as quickly as need
I need it as quickly as possible., i possible it as quickly as need
